ts_iso,batt_v,airspeed_ms,groundspeed_ms,roll_deg,pitch_deg,yaw_deg,lat,lon,alt_m
2025-10-13T11:03:08.157238+00:00,11.153,10.875,9.462,9.519,4.872,53.774,,,
2025-10-13T11:03:08.374474+00:00,11.157,10.467,9.490,8.946,4.965,58.119,56.162931,10.203866,60.83
2025-10-13T11:03:08.578174+00:00,11.161,10.064,9.500,8.220,4.999,62.193,56.162876,10.203892,58.72
2025-10-13T11:03:08.782692+00:00,11.165,9.657,9.494,7.323,4.981,66.283,56.162944,10.203915,59.87
2025-10-13T11:03:08.985977+00:00,11.169,9.266,9.474,6.283,4.912,70.349,56.162907,10.203926,59.16
2025-10-13T11:03:09.189147+00:00,11.173,8.906,9.438,5.117,4.792,74.412,56.162935,10.203917,59.75
2025-10-13T11:03:09.392805+00:00,11.176,8.590,9.387,3.844,4.622,78.485,56.162930,10.203880,60.63
2025-10-13T11:03:09.596351+00:00,11.180,8.332,9.321,2.495,4.404,82.556,56.162911,10.203872,58.15
2025-10-13T11:03:09.801153+00:00,11.184,8.143,9.242,1.085,4.139,86.652,56.162933,10.203918,60.17
2025-10-13T11:03:10.005642+00:00,11.188,8.031,9.149,-0.344,3.831,90.742,56.162859,10.203930,58.27
2025-10-13T11:03:10.208691+00:00,11.191,8.001,9.046,-1.756,3.486,94.803,56.162935,10.203911,61.16
2025-10-13T11:03:10.411834+00:00,11.195,8.053,8.931,-3.133,3.105,98.866,56.162903,10.203852,60.50
2025-10-13T11:03:10.617905+00:00,11.198,8.188,8.806,-4.466,2.685,102.987,56.162929,10.203948,57.75
2025-10-13T11:03:10.772255+00:00,11.201,8.340,8.706,-5.405,2.352,106.074,56.162929,10.203948,57.75
2025-10-13T11:03:10.975153+00:00,11.205,8.598,8.568,-6.541,1.893,110.132,56.162874,10.203862,61.75
2025-10-13T11:03:11.178070+00:00,11.208,8.915,8.424,-7.546,1.415,114.191,56.162892,10.203873,60.61
2025-10-13T11:03:11.379959+00:00,11.211,9.273,8.277,-8.395,0.924,118.228,56.162933,10.203937,59.12
2025-10-13T11:03:11.582798+00:00,11.215,9.664,8.127,-9.080,0.422,122.285,56.162896,10.203950,59.34
2025-10-13T11:03:11.786895+00:00,11.218,10.070,7.974,-9.584,-0.088,126.367,56.162895,10.203869,62.21
2025-10-13T11:03:11.989132+00:00,11.221,10.470,7.822,-9.891,-0.592,130.412,56.162865,10.203913,59.57
2025-10-13T11:03:12.191651+00:00,11.225,10.852,7.673,-10.000,-1.091,134.462,56.162864,10.203920,62.38
2025-10-13T11:03:12.395602+00:00,11.228,11.201,7.525,-9.907,-1.582,138.541,56.162942,10.203884,59.61
2025-10-13T11:03:12.597446+00:00,11.231,11.497,7.384,-9.616,-2.052,142.578,56.162926,10.203895,58.38
2025-10-13T11:03:12.800299+00:00,11.234,11.733,7.249,-9.132,-2.503,146.635,56.162935,10.203936,59.86
2025-10-13T11:03:13.003223+00:00,11.237,11.899,7.121,-8.462,-2.929,150.694,56.162874,10.203878,58.36
2025-10-13T11:03:13.204549+00:00,11.240,11.986,7.004,-7.630,-3.321,154.720,56.162850,10.203947,61.24
2025-10-13T11:03:13.407381+00:00,11.243,11.993,6.895,-6.639,-3.682,158.777,56.162906,10.203921,61.28
2025-10-13T11:03:13.609170+00:00,11.245,11.918,6.799,-5.520,-4.004,162.813,56.162877,10.203864,59.74
2025-10-13T11:03:13.811876+00:00,11.248,11.765,6.714,-4.285,-4.287,166.867,56.162857,10.203938,57.92
2025-10-13T11:03:14.014927+00:00,11.251,11.539,6.642,-2.962,-4.525,170.928,56.162883,10.203915,62.10
2025-10-13T11:03:14.217178+00:00,11.253,11.252,6.585,-1.585,-4.717,174.973,56.162883,10.203874,60.30
2025-10-13T11:03:14.419216+00:00,11.256,10.913,6.542,-0.177,-4.860,179.014,56.162906,10.203868,59.73
2025-10-13T11:03:14.621703+00:00,11.259,10.537,6.514,1.237,-4.954,183.063,56.162888,10.203851,59.69
2025-10-13T11:03:14.823586+00:00,11.261,10.139,6.501,2.622,-4.997,187.101,56.162912,10.203917,57.58
2025-10-13T11:03:15.026483+00:00,11.263,9.734,6.503,3.962,-4.989,191.159,56.162858,10.203903,58.14
2025-10-13T11:03:15.228601+00:00,11.266,9.342,6.521,5.217,-4.930,195.201,56.162906,10.203933,58.94
