ts_iso,batt_v,airspeed_ms,groundspeed_ms,roll_deg,pitch_deg,yaw_deg,lat,lon,alt_m
2025-10-17T14:27:55.229295+00:00,,,,,,,,,
2025-10-17T14:27:55.845344+00:00,,,,,,,,,
2025-10-17T14:27:56.447834+00:00,,,,,,,,,
2025-10-17T14:27:57.063540+00:00,,,,,,,,,
2025-10-17T14:27:58.130293+00:00,,,,,,,,,
2025-10-17T14:27:58.739306+00:00,,,,,,,,,
2025-10-17T14:27:59.342395+00:00,,,,,,,,,
2025-10-17T14:27:59.961251+00:00,11.112,11.160,,4.198,1.523,,,,
2025-10-17T14:28:00.564550+00:00,11.124,11.880,,7.550,2.869,,,,
2025-10-17T14:28:01.185820+00:00,11.137,11.926,,9.610,3.983,,,,
2025-10-17T14:28:01.801286+00:00,11.149,11.262,,9.887,4.712,,,,
2025-10-17T14:28:02.409739+00:00,11.160,10.148,,8.384,4.997,,,,
2025-10-17T14:28:03.029850+00:00,11.172,8.961,,5.314,4.815,,,,
2025-10-17T14:28:03.636699+00:00,11.183,8.172,,1.351,4.192,,,,
2025-10-17T14:28:04.239089+00:00,11.194,8.034,,-2.823,3.195,,,,
2025-10-17T14:28:04.844064+00:00,11.205,8.591,,-6.516,1.904,,,,
2025-10-17T14:28:05.453862+00:00,11.215,9.658,,-9.072,0.428,,,,
2025-10-17T14:28:06.058511+00:00,11.224,10.839,,-9.999,-1.074,,,,
2025-10-17T14:28:06.667021+00:00,11.234,11.726,,-9.151,-2.488,,,,
2025-10-17T14:28:07.271656+00:00,11.242,11.994,,-6.688,-3.666,,,,
2025-10-17T14:28:07.879641+00:00,11.251,11.551,,-3.022,-4.516,,,,
2025-10-17T14:28:08.485207+00:00,11.258,10.556,,1.166,-4.950,,,,
2025-10-17T14:28:09.092038+00:00,11.266,9.361,,5.155,-4.934,,,,
2025-10-17T14:28:09.700789+00:00,11.272,8.392,,8.236,-4.465,,,,
2025-10-17T14:28:10.313334+00:00,11.278,8.001,,9.849,-3.579,,,,
2025-10-17T14:28:10.921152+00:00,11.283,8.331,,9.686,-2.370,,,,
2025-10-17T14:28:11.524711+00:00,11.288,9.251,,7.815,-0.954,,,,
2025-10-17T14:28:12.127126+00:00,11.292,10.433,,4.577,0.545,,,,
2025-10-17T14:28:12.738563+00:00,11.295,11.476,,0.474,2.016,,,,
2025-10-17T14:28:13.349133+00:00,11.297,11.983,,-3.709,3.298,,,,
2025-10-17T14:28:13.957757+00:00,11.299,11.776,,-7.216,4.272,,,,
2025-10-17T14:28:14.561277+00:00,11.300,10.939,,-9.420,4.851,,,,
2025-10-17T14:28:15.170512+00:00,11.300,9.760,,-9.965,4.991,,,,
2025-10-17T14:28:15.776159+00:00,11.299,8.672,,-8.736,4.674,,,,
2025-10-17T14:28:16.382956+00:00,11.298,8.056,,-5.955,3.930,,,,
2025-10-17T14:28:16.991091+00:00,11.296,8.135,,-2.106,2.825,,,,
2025-10-17T14:28:17.599257+00:00,11.294,8.883,,2.119,1.460,,,,
2025-10-17T14:28:18.210251+00:00,11.290,10.037,,5.982,-0.046,,,,
2025-10-17T14:28:18.815843+00:00,11.286,11.169,,8.748,-1.535,,,,
2025-10-17T14:28:19.419173+00:00,11.281,11.883,,9.965,-2.879,,,,
2025-10-17T14:28:20.026700+00:00,11.276,11.931,,9.421,-3.970,,,,
2025-10-17T14:28:20.636066+00:00,11.270,11.284,,7.190,-4.699,,,,
2025-10-17T14:28:21.244617+00:00,11.263,10.177,,3.675,-4.995,,,,
2025-10-17T14:28:21.852742+00:00,11.255,9.007,,-0.493,-4.832,,,,
2025-10-17T14:28:22.462880+00:00,11.248,8.192,,-4.586,-4.224,,,,
2025-10-17T14:28:23.068761+00:00,11.239,8.027,,-7.837,-3.233,,,,
2025-10-17T14:28:23.672101+00:00,11.230,8.561,,-9.694,-1.954,,,,
2025-10-17T14:28:24.278958+00:00,11.221,9.610,,-9.844,-0.489,,,,
2025-10-17T14:28:24.891801+00:00,11.211,10.810,,-8.220,1.034,,,,
2025-10-17T14:28:25.502103+00:00,11.200,11.712,,-5.121,2.456,,,,
2025-10-17T14:28:26.107243+00:00,11.190,11.996,,-1.138,3.642,,,,
2025-10-17T14:28:26.712749+00:00,11.179,11.571,,3.048,4.498,,,,
2025-10-17T14:28:27.320301+00:00,11.167,10.584,,6.706,4.945,,,,
2025-10-17T14:28:27.929337+00:00,11.156,9.385,,9.174,4.939,,,,
2025-10-17T14:28:28.537641+00:00,11.144,8.408,,9.999,4.479,,,,
2025-10-17T14:28:29.141000+00:00,11.132,8.002,,9.053,3.617,,,,
2025-10-17T14:28:29.753407+00:00,11.120,8.312,,6.468,2.408,,,,
2025-10-17T14:28:30.361464+00:00,11.108,9.227,,2.742,0.985,,,,
2025-10-17T14:28:30.964902+00:00,11.096,10.410,,-1.442,-0.516,,,,
2025-10-17T14:28:31.567515+00:00,11.084,11.448,,-5.367,-1.969,,,,
2025-10-17T14:28:32.178746+00:00,11.072,11.977,,-8.384,-3.260,,,,
2025-10-17T14:28:32.789945+00:00,11.060,11.791,,-9.890,-4.250,,,,
2025-10-17T14:28:33.398793+00:00,11.048,10.961,,-9.617,-4.844,,,,
2025-10-17T14:28:34.004693+00:00,11.036,9.791,,-7.637,-4.993,,,,
2025-10-17T14:28:34.611806+00:00,11.025,8.693,,-4.296,-4.686,,,,
2025-10-17T14:28:35.217690+00:00,11.014,8.064,,-0.199,-3.953,,,,
2025-10-17T14:28:35.824705+00:00,11.003,8.124,,3.940,-2.858,,,,
2025-10-17T14:28:36.432789+00:00,10.993,8.857,,7.383,-1.498,,,,
2025-10-17T14:28:37.045670+00:00,10.982,10.009,,9.520,0.011,,,,
2025-10-17T14:28:37.651244+00:00,10.973,11.146,,9.937,1.501,,,,
2025-10-17T14:28:38.258740+00:00,10.964,11.876,,8.587,2.859,,,,
2025-10-17T14:28:38.861752+00:00,10.955,11.938,,5.734,3.948,,,,
2025-10-17T14:28:39.472199+00:00,10.947,11.305,,1.824,4.688,,,,
2025-10-17T14:28:40.083002+00:00,10.939,10.200,,-2.418,4.994,,,,
2025-10-17T14:28:40.686475+00:00,10.932,9.035,,-6.183,4.842,,,,
2025-10-17T14:28:41.294734+00:00,10.926,8.207,,-8.877,4.247,,,,
2025-10-17T14:28:41.905435+00:00,10.920,8.023,,-9.987,3.258,,,,
2025-10-17T14:28:42.510617+00:00,10.915,8.546,,-9.313,1.979,,,,
2025-10-17T14:28:43.113896+00:00,10.911,9.582,,-7.003,0.526,,,,
2025-10-17T14:28:43.720806+00:00,10.907,10.772,,-3.438,-0.984,,,,
2025-10-17T14:28:44.333054+00:00,10.905,11.692,,0.775,-2.416,,,,
2025-10-17T14:28:44.944342+00:00,10.902,11.998,,4.843,-3.621,,,,
2025-10-17T14:28:45.549956+00:00,10.901,11.587,,8.013,-4.484,,,,
2025-10-17T14:28:46.152597+00:00,10.900,10.617,,9.760,-4.939,,,,
2025-10-17T14:28:46.760304+00:00,10.900,9.420,,9.789,-4.946,,,,
2025-10-17T14:28:47.369285+00:00,10.901,8.429,,8.067,-4.499,,,,
2025-10-17T14:28:47.977943+00:00,10.902,8.003,,4.904,-3.638,,,,
2025-10-17T14:28:48.586188+00:00,10.904,8.294,,0.867,-2.444,,,,
2025-10-17T14:28:49.193502+00:00,10.907,9.195,,-3.319,-1.028,,,,
2025-10-17T14:28:49.801255+00:00,10.911,10.385,,-6.916,0.483,,,,
2025-10-17T14:28:50.404640+00:00,10.915,11.430,,-9.269,1.940,,,,
2025-10-17T14:28:51.010927+00:00,10.920,11.972,,-9.992,3.227,,,,
2025-10-17T14:28:51.623878+00:00,10.926,11.805,,-8.921,4.229,,,,
2025-10-17T14:28:52.229677+00:00,10.932,10.993,,-6.272,4.832,,,,
2025-10-17T14:28:52.838048+00:00,10.939,9.823,,-2.494,4.995,,,,
2025-10-17T14:28:53.443456+00:00,10.947,8.721,,1.709,4.702,,,,
2025-10-17T14:28:54.050890+00:00,10.955,8.072,,5.621,3.978,,,,
2025-10-17T14:28:54.656796+00:00,10.963,8.112,,8.527,2.893,,,,
2025-10-17T14:28:55.266130+00:00,10.973,8.830,,9.924,1.537,,,,
2025-10-17T14:28:55.873962+00:00,10.982,9.966,,9.547,0.042,,,,
2025-10-17T14:28:56.486829+00:00,10.992,11.122,,7.443,-1.468,,,,
2025-10-17T14:28:57.093900+00:00,11.003,11.866,,4.028,-2.829,,,,
2025-10-17T14:28:57.697185+00:00,11.013,11.945,,-0.077,-3.926,,,,
2025-10-17T14:28:58.300227+00:00,11.024,11.337,,-4.167,-4.669,,,,
2025-10-17T14:28:58.910369+00:00,11.036,10.244,,-7.559,-4.991,,,,
2025-10-17T14:28:59.521411+00:00,11.048,9.061,,-9.593,-4.851,,,,
2025-10-17T14:29:00.130076+00:00,11.059,8.220,,-9.902,-4.266,,,,
2025-10-17T14:29:00.732867+00:00,11.071,8.017,,-8.462,-3.299,,,,
2025-10-17T14:29:01.342355+00:00,11.083,8.522,,-5.499,-2.020,,,,
2025-10-17T14:29:01.947663+00:00,11.095,9.551,,-1.579,-0.565,,,,
2025-10-17T14:29:02.554581+00:00,11.108,10.743,,2.632,0.945,,,,
2025-10-17T14:29:03.162973+00:00,11.120,11.671,,6.382,2.373,,,,
2025-10-17T14:29:03.770406+00:00,11.132,11.999,,8.990,3.580,,,,
2025-10-17T14:29:04.381412+00:00,11.144,11.608,,9.997,4.464,,,,
2025-10-17T14:29:04.987190+00:00,11.156,10.645,,9.217,4.933,,,,
2025-10-17T14:29:05.589786+00:00,11.167,9.459,,6.821,4.953,,,,
